pattern,reading
0,"Reading: 0, 4095"
1,"Reading: 1, 4095"
2,"Reading: 2, 4095"
3,"Reading: 3, 4095"
4,"Reading: 4, 4095"
5,"Reading: 5, 4095"
6,"Reading: 6, 4095"
7,"Reading: 7, 4095"
8,"Reading: 8, 4095"
9,"Reading: 9, 4095"
10,"Reading: 10, 4095"
11,"Reading: 11, 4095"
12,"Reading: 12, 4095"
13,"Reading: 13, 4095"
14,"Reading: 14, 4095"
15,"Reading: 15, 4095"
16,"Reading: 16, 4095"
17,"Reading: 17, 4095"
18,"Reading: 18, 4095"
19,"Reading: 19, 4095"
20,"Reading: 20, 4095"
21,"Reading: 21, 4095"
22,"Reading: 22, 4095"
23,"Reading: 23, 4095"
24,"Reading: 24, 4095"
25,"Reading: 25, 4095"
26,"Reading: 26, 4095"
27,"Reading: 27, 4095"
28,"Reading: 28, 4095"
29,"Reading: 29, 4095"
30,"Reading: 30, 4095"
31,"Reading: 31, 4095"
32,"Reading: 32, 4095"
33,"Reading: 33, 4095"
34,"Reading: 34, 4095"
35,"Reading: 35, 4095"
36,"Reading: 36, 4095"
37,"Reading: 37, 4095"
38,"Reading: 38, 4095"
39,"Reading: 39, 4095"
40,"Reading: 40, 4095"
41,"Reading: 41, 4095"
42,"Reading: 42, 4095"
43,"Reading: 43, 4095"
44,"Reading: 44, 4095"
45,"Reading: 45, 4076"
46,"Reading: 46, 4095"
47,"Reading: 47, 4095"
48,"Reading: 48, 4095"
49,"Reading: 49, 4095"
50,"Reading: 50, 4095"
51,"Reading: 51, 4095"
52,"Reading: 52, 4095"
53,"Reading: 53, 4095"
54,"Reading: 54, 4095"
55,"Reading: 55, 4095"
56,"Reading: 56, 4095"
57,"Reading: 57, 4095"
58,"Reading: 58, 4095"
59,"Reading: 59, 4095"
60,"Reading: 60, 4095"
61,"Reading: 61, 4095"
62,"Reading: 62, 4095"
63,"Reading: 63, 4095"
64,"Reading: 64, 4095"
65,"Reading: 65, 4095"
66,"Reading: 66, 4095"
67,"Reading: 67, 4095"
68,"Reading: 68, 4095"
69,"Reading: 69, 4095"
70,"Reading: 70, 4095"
71,"Reading: 71, 4095"
72,"Reading: 72, 4095"
73,"Reading: 73, 4095"
74,"Reading: 74, 4095"
75,"Reading: 75, 4095"
76,"Reading: 76, 4095"
77,"Reading: 77, 4095"
78,"Reading: 78, 4095"
79,"Reading: 79, 4095"
80,"Reading: 80, 4095"
81,"Reading: 81, 4095"
82,"Reading: 82, 4095"
83,"Reading: 83, 4095"
84,"Reading: 84, 4095"
85,"Reading: 85, 4095"
86,"Reading: 86, 4095"
87,"Reading: 87, 4095"
88,"Reading: 88, 4095"
89,"Reading: 89, 4095"
90,"Reading: 90, 4095"
91,"Reading: 91, 4095"
92,"Reading: 92, 4095"
93,"Reading: 93, 4095"
94,"Reading: 94, 4095"
95,"Reading: 95, 4095"
96,"Reading: 96, 4095"
97,"Reading: 97, 4095"
98,"Reading: 98, 4095"
99,"Reading: 99, 4095"
100,"Reading: 100, 4095"
101,"Reading: 101, 4095"
102,"Reading: 102, 4095"
103,"Reading: 103, 4095"
104,"Reading: 104, 4095"
105,"Reading: 105, 4095"
106,"Reading: 106, 4095"
107,"Reading: 107, 4095"
108,"Reading: 108, 4095"
109,"Reading: 109, 4095"
110,"Reading: 110, 4095"
111,"Reading: 111, 4095"
112,"Reading: 112, 4095"
113,"Reading: 113, 4095"
114,"Reading: 114, 4095"
115,"Reading: 115, 4095"
116,"Reading: 116, 4095"
117,"Reading: 117, 4095"
118,"Reading: 118, 4095"
119,"Reading: 119, 4095"
120,"Reading: 120, 4095"
121,"Reading: 121, 4095"
122,"Reading: 122, 4095"
123,"Reading: 123, 4095"
124,"Reading: 124, 4095"
125,"Reading: 125, 4095"
126,"Reading: 126, 4095"
127,"Reading: 127, 4095"
128,"Reading: 128, 4095"
129,"Reading: 129, 4095"
130,"Reading: 130, 4095"
131,"Reading: 131, 4095"
132,"Reading: 132, 4095"
133,"Reading: 133, 4095"
134,"Reading: 134, 4095"
135,"Reading: 135, 4095"
136,"Reading: 136, 4061"
137,"Reading: 137, 4095"
138,"Reading: 138, 4095"
139,"Reading: 139, 4095"
140,"Reading: 140, 4095"
141,"Reading: 141, 4095"
142,"Reading: 142, 4095"
143,"Reading: 143, 4095"
